@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2024/04/25 14:55:29:100',1,522.026367,340.141968,-0.001236,38.093658,8.918488,5.790701,72.582428,5.372833,9.873283,96.569122,26.333069,15.063281,116.274139,43.154205,21.503487,72.307922,41.377106,5.056567,90.905792,66.882629,9.538916,102.662231,87.689194,12.491651,112.340515,106.145142,14.547129,52.852142,52.8638,7.896011,73.269928,80.975525,13.220016,89.025757,104.598877,18.218317,102.207336,123.860764,21.512741,31.802582,60.01178,11.752174,48.263489,87.329193,17.700663,62.275909,109.284943,23.875771,74.818787,125.883469,28.140503,9.43219,63.118683,16.158657,20.423737,86.701141,22.113855,30.214813,103.693161,27.240746,41.609253,118.560471,30.757069,?
2,'2024/04/25 14:55:29:104',1,521.145569,339.976898,-0.001245,37.47168,8.642456,5.614173,71.39502,5.673889,9.228087,95.25058,26.200287,13.940906,115.307953,42.131409,19.698874,72.217163,41.931488,3.830055,90.941711,67.132507,7.748307,102.631653,87.764694,10.23851,112.230743,105.986237,11.991427,53.112854,53.41507,6.581537,73.585205,81.182495,11.258256,88.944458,104.49382,15.784173,101.840027,123.502045,18.712925,32.176849,60.448792,10.453538,48.051208,87.633286,15.797217,61.407623,109.524429,21.48385,73.515411,126.234344,25.423731,9.803833,63.121155,14.92773,20.169922,86.536606,20.402966,29.358276,103.515518,25.148619,40.185638,118.585663,28.381779,?
3,'2024/04/25 14:55:29:162',1,520.516479,340.335266,-0.001275,36.801483,8.664734,6.135271,70.97467,5.608276,9.879408,95.055511,26.236603,14.653192,114.581024,42.127075,20.444809,71.940002,42.555176,3.55918,90.689484,67.779663,7.205685,102.403656,88.186646,9.569277,112.002228,106.089371,11.203238,52.694702,54.243744,5.948367,73.213654,81.851166,10.306952,88.783051,104.6922,14.777178,101.887024,123.072403,17.603891,31.634155,61.513397,9.563566,47.260925,88.838486,14.556382,60.807831,110.290878,20.224096,73.133453,126.328644,24.11187,9.290955,64.449799,13.851634,19.942474,87.957703,19.073887,29.603241,104.744537,23.781904,40.936401,119.323486,26.957079,?
4,'2024/04/25 14:55:29:164',1,519.699219,340.628754,-0.001413,37.255432,7.826355,5.543419,71.080688,6.939331,8.706274,94.785461,27.493317,13.137701,115.037354,43.364044,18.643259,72.269684,43.17276,1.817176,90.541718,67.409607,5.586646,102.154846,87.519409,8.537321,111.899506,105.382736,10.728338,53.04425,54.757782,4.652778,73.085175,81.645172,8.834637,88.183777,104.610352,13.669594,101.100647,123.464722,17.029833,31.905182,61.855316,8.763255,47.501678,88.327652,13.709488,60.697052,110.013977,19.648712,72.891602,126.613434,23.965206,9.121185,64.527435,13.570042,19.149292,87.508667,18.628973,28.184601,104.380341,23.345789,39.043732,119.35289,26.745178,?
5,'2024/04/25 14:55:29:225',1,520.302185,340.35965,-0.001424,38.073029,8.515228,4.812592,71.864502,5.871368,7.998825,95.556396,26.083252,12.376534,115.040405,41.629486,17.807951,73.184814,40.933746,3.018902,93.30368,65.796448,6.711115,105.32074,85.680695,8.748723,114.858368,102.989609,10.102487,53.687378,52.976624,5.820057,75.067902,81.293213,9.988227,90.110535,104.316315,13.782249,102.666962,122.771149,16.323465,32.395966,60.777496,9.640901,49.472656,88.424759,14.537866,63.185669,110.05455,19.542728,75.428162,126.257568,23.077209,9.587311,64.169403,14.020091,20.061096,88.360077,18.845427,29.278992,105.500854,22.993084,40.169617,120.287994,25.854628,?
6,'2024/04/25 14:55:29:230',1,520.019653,340.210144,-0.001343,39.558014,8.4328,3.481741,73.204193,5.281982,6.297674,96.670807,25.777924,10.244919,114.987152,42.204163,15.205626,72.694733,39.179993,4.122213,93.436401,65.220612,7.908765,105.472778,85.416016,9.310431,114.625031,102.618912,9.976742,53.184052,51.264862,7.126756,75.225861,80.763,11.804175,90.339355,104.024063,15.157198,102.551941,122.39772,17.221386,32.071594,59.430237,10.801241,49.906219,87.834946,16.225044,63.852112,109.622955,20.904547,75.916809,125.687943,23.9653,9.833954,63.354706,14.760759,20.405823,88.376602,19.896965,29.535431,105.892517,23.905388,40.182739,120.768524,26.48205,?
7,'2024/04/25 14:55:29:290',1,519.102295,341.173096,-0.001357,39.012512,7.603394,3.61605,72.079681,7.039337,6.168171,95.174561,27.735474,9.980317,114.750336,44.044891,14.887485,72.844299,40.238708,2.911081,93.012939,64.777496,6.874201,105.211792,84.466797,8.971435,114.90506,101.350327,10.288453,53.753937,52.561951,5.971231,75.339172,80.96875,10.644847,90.419708,103.894119,14.510018,102.9216,122.099243,17.108099,32.825256,60.871643,9.84567,50.15332,88.644928,15.241265,64.043701,110.428101,20.337294,76.447876,126.666382,23.89526,10.364777,64.777069,14.081162,20.410858,89.496124,19.148607,29.319427,106.866577,23.326527,40.026001,121.829697,26.201672,?
8,'2024/04/25 14:55:29:291',1,519.983582,340.476868,-0.001397,38.228821,7.9776,5.536638,71.822479,7.044373,8.782638,95.369751,27.649292,13.391729,116.265381,44.128052,19.128284,74.655914,41.707489,2.151515,93.676575,65.017365,6.482818,106.063934,84.20166,9.822058,116.366364,100.853058,12.339458,55.786804,53.961914,5.205874,76.375061,81.087738,9.91019,91.721436,103.256577,14.994498,104.72348,120.93956,18.638498,34.983948,62.024933,9.510915,51.768616,88.854507,14.928698,66.060883,109.83699,20.869213,79.022491,125.411072,25.238647,12.081238,65.802582,14.543862,22.775574,89.572571,19.835558,32.485657,106.380753,24.498272,43.813202,120.804123,27.918186,?
9,'2024/04/25 14:55:29:353',1,519.220276,340.880402,-0.001265,37.840088,8.238922,4.812093,71.37262,6.767975,7.576077,95.091309,27.534332,11.562984,116.228455,43.853455,16.575792,73.470551,41.218109,1.942038,93.314667,64.838074,5.670546,106.155273,84.553436,8.198205,116.83667,101.634933,10.051156,54.764587,53.914429,4.716953,75.96347,81.624756,8.903609,91.767914,104.305344,13.123921,105.013977,122.284866,16.064817,34.271759,62.258118,8.599923,51.559784,89.721329,13.508843,66.173279,111.129959,18.67617,79.368988,127.072632,22.408104,11.72644,66.200012,13.091607,22.884857,90.364685,17.992355,32.819855,107.384918,22.188768,44.270721,122.168777,25.135408,?
10,'2024/04/25 14:55:29:355',1,519.368042,340.236908,-0.001267,38.798523,8.684784,3.613605,71.502533,6.366394,5.656338,94.421112,27.791199,8.85488,113.933502,44.991608,12.87256,73.244659,38.876312,2.036262,94.376373,64.016541,5.131258,107.234955,84.448868,6.377227,117.373505,101.535965,7.065619,54.616028,51.928223,4.745471,76.813416,81.572235,8.569876,92.375824,105.092926,11.694123,105.01004,123.484451,13.671345,34.26593,60.792908,8.314472,52.157837,89.530212,12.885449,66.6875,111.394806,17.228258,79.451477,127.475616,20.203642,12.210266,65.162872,12.297586,23.590546,89.580063,16.848221,33.342529,106.527222,20.431786,44.282715,121.018463,22.694433,?
11,'2024/04/25 14:55:29:415',1,519.702332,340.345795,-0.001288,38.763306,8.766174,4.957302,71.095551,6.993683,7.461635,94.139648,28.577484,11.138789,115.192871,46.287659,15.637472,73.962128,39.966278,2.041431,95.643799,64.121857,5.559458,109.417511,84.090363,7.554894,120.534271,100.82637,9.000871,55.291504,53.219971,4.851894,77.434204,82.534973,8.86902,93.172363,105.851959,12.661246,106.173096,124.205521,15.27494,34.845306,62.10791,8.827707,52.210571,90.632797,13.610353,66.795654,112.463837,18.480328,79.808929,128.597794,22.04505,12.528564,66.511444,13.454062,22.994965,90.578476,18.289921,32.299408,107.600571,22.219198,42.834106,122.311218,24.93745,?
12,'2024/04/25 14:55:29:416',1,519.951965,339.178772,-0.001259,39.298737,9.420624,3.942848,71.145782,5.244568,6.332778,93.805664,25.708221,9.86628,115.172882,42.905426,14.197409,73.109528,38.286346,3.247904,95.902435,62.530365,7.212018,110.802429,82.795502,9.096107,122.88678,99.730896,10.343784,54.651276,51.382324,6.475007,77.805573,81.036133,11.10005,95.023865,104.740814,14.863993,109.353943,123.359268,17.449192,34.641571,60.401062,10.625742,53.046997,89.188354,15.847838,68.82959,111.58374,20.663271,82.80426,128.254715,24.17487,12.970673,65.250519,15.244701,24.274567,89.880142,20.467194,34.43399,107.404205,24.578312,45.762909,122.692368,27.446358,?
13,'2024/04/25 14:55:29:481',1,518.733521,339.254364,-0.001276,38.120636,9.020599,5.292052,70.087585,6.296692,8.023484,93.084991,27.1474,11.789209,114.886749,44.637146,16.272551,73.094696,40.505096,2.705548,95.17807,65.269012,6.511365,109.648926,85.790314,8.711935,121.525238,103.107773,10.279867,54.264435,53.401001,5.454553,76.822235,82.998566,9.76354,93.705383,106.610275,13.82555,107.998138,125.381561,16.682869,34.073547,62.004303,9.383209,52.18161,90.550644,14.283083,67.851471,112.399826,19.264959,81.887054,128.734497,22.974232,12.166168,66.559479,13.998524,23.652679,90.632629,19.015779,34.097626,107.838135,23.170481,45.664276,122.829422,26.149847,?
14,'2024/04/25 14:55:29:482',1,518.507629,338.0578,-0.001236,37.779114,9.719757,5.193553,69.086426,5.241241,8.30547,91.634766,26.176147,12.173782,112.6203,43.500824,16.611361,72.957794,38.450592,5.385594,96.941223,63.364716,9.589543,112.24704,83.811356,11.30683,124.47641,101.07074,12.280441,53.859467,51.771362,7.802081,77.475372,82.403381,12.668333,94.321381,106.408951,16.035288,108.405457,125.48111,18.187174,33.43634,60.723816,11.162025,51.684143,90.291397,16.390591,66.881683,112.613159,20.766243,80.29837,129.313629,23.863039,11.666412,65.408661,15.073927,22.824188,90.09024,20.222363,32.731659,107.620865,24.118645,43.658722,122.915451,26.745977,?
15,'2024/04/25 14:55:29:546',1,517.711548,336.376434,-0.001279,38.231873,11.911133,2.390937,69.722748,1.589294,4.188269,92.63385,21.714905,6.745345,112.766144,37.132843,9.698373,72.538025,34.800507,4.879396,98.152191,61.648315,8.254585,113.675751,82.509338,8.613317,125.456421,99.79686,8.322172,53.802826,49.38855,7.419281,79.341797,81.993958,11.671345,96.118896,106.36911,13.691875,109.615448,125.738312,14.82468,33.577789,59.435455,10.402417,53.447906,90.249832,15.162514,68.298615,112.635056,18.382891,80.801605,129.638687,20.50975,12.320435,64.468475,13.528543,24.224335,89.984802,17.926628,33.622681,107.350723,20.891356,43.596802,122.792999,22.738249,?
16,'2024/04/25 14:55:29:547',1,517.415222,336.353394,-0.00116,37.816376,12.759644,1.742071,69.637329,1.061218,2.584753,93.527252,15.966522,4.465553,114.878601,27.820526,6.854799,73.352631,37.655182,1.223331,99.000214,63.775482,3.580978,115.46286,83.130478,3.910906,128.170135,98.793427,3.953213,54.799011,52.085114,4.138676,79.559906,84.280182,7.044619,96.225372,107.160065,9.208064,110.106293,125.008835,10.817104,34.479858,61.552795,7.754143,53.048279,91.82222,11.723822,67.096527,113.126419,15.244149,79.101807,129.069244,17.807638,12.888123,65.992432,11.569489,22.927307,91.225571,15.538228,31.250916,108.333069,18.6106,40.263611,123.459808,20.78784,?
17,'2024/04/25 14:55:29:620',1,518.109497,336.640472,-0.001189,36.3685,14.399231,2.181076,69.322754,3.969208,3.402289,94.582703,11.985962,5.544939,116.610077,22.177795,8.161222,74.490387,36.839264,1.757349,100.801361,63.486969,3.572646,117.373108,82.902512,3.096011,129.880432,98.685989,2.447209,56.182373,51.778595,4.274994,81.731659,83.985657,6.792404,98.413544,106.816711,8.284164,111.912537,124.662537,9.02821,35.591888,61.627899,7.582479,52.977966,92.67009,10.971931,65.774689,114.807465,13.928288,76.660309,131.641724,15.84687,13.793091,66.119873,11.093986,23.396118,91.70549,14.91758,30.941101,109.196213,17.801931,39.21701,125.046829,19.596189,?
18,'2024/04/25 14:55:29:622',1,516.336914,336.222717,-0.001087,36.2052,14.420258,0.508253,69.206268,5.782593,0.381564,94.921661,8.195435,1.32553,115.928223,16.637817,2.711927,73.390137,36.958801,1.344113,100.333893,63.533051,0.788774,116.783966,82.535217,1.870147,128.782257,97.713394,2.941187,55.147888,52.535278,1.154475,80.818481,85.408585,2.232826,96.835175,108.364319,3.079791,109.473053,126.100891,3.441221,34.633667,62.697693,4.363046,51.667511,94.249222,6.527823,63.500092,116.452896,8.919153,73.573303,133.315872,10.399632,13.121796,67.140961,7.642251,21.577362,93.149384,10.415971,27.825867,110.564117,12.645445,35.111145,126.479385,13.882805,?
19,'2024/04/25 14:55:29:684',1,515.553955,335.998596,-0.001008,37.452301,14.761169,1.568631,70.002716,6.65036,2.25791,95.313477,7.064514,1.964973,115.508667,16.141632,1.141094,73.360718,36.382874,0.414783,100.885406,65.137085,0.188219,116.625122,84.935837,1.967516,127.52829,100.156647,3.652081,54.19281,51.978424,2.037593,80.409058,87.347076,3.079827,95.554718,110.852524,2.898304,107.158875,128.608719,2.424948,32.873596,62.127228,4.636494,50.632629,95.322174,6.518376,62.206635,117.790604,7.796561,71.558685,134.33223,8.330323,11.195648,66.760162,6.95002,19.406494,94.169312,9.080481,25.140411,111.834915,10.474183,31.699127,127.490784,10.974812,?
20,'2024/04/25 14:55:29:686',1,516.929199,335.752411,-0.000848,36.790741,17.227051,2.115992,70.390198,9.363037,3.384946,95.989868,4.291992,5.59635,116.161438,13.283569,8.444002,73.899597,36.2659,2.167427,101.314545,62.786682,4.285842,118.489655,81.6978,4.614151,131.230011,97.029663,4.701626,54.419891,52.391602,4.807551,79.933014,86.070358,7.430582,95.876007,109.704956,9.543649,108.803802,128.320465,11.030005,32.924347,62.608734,8.171885,49.454193,94.607376,11.602819,61.167053,117.564026,15.08994,71.240082,134.974869,17.583948,10.880493,66.966095,11.704576,18.289429,93.400482,15.439315,24.092255,111.500793,18.522467,31.067322,127.917816,20.638863,?
21,'2024/04/25 14:55:29:754',1,517.09906,334.485443,-0.000898,36.662994,15.639404,1.506806,70.410675,8.135712,0.792332,97.237396,4.854523,0.396557,117.625366,13.231171,1.961191,71.499054,33.565155,5.582582,100.682556,62.999878,7.189957,117.29599,82.122864,5.94514,129.01062,97.043884,4.496087,52.184906,49.397003,7.538255,78.784515,86.469543,10.112687,93.598877,110.689346,9.532802,104.46344,129.000473,8.721313,30.974213,59.55188,9.047653,48.663422,94.833771,11.526317,59.473694,118.580444,11.57032,67.837799,135.72757,11.179031,9.93045,64.19223,10.071291,18.178741,93.255188,12.287869,23.329315,111.848099,12.914105,28.743408,127.983948,12.815028,?
22,'2024/04/25 14:55:29:756',1,514.028381,336.901947,-0.001002,34.402283,11.069794,4.602583,67.573761,0.976257,6.74499,94.910797,13.359009,9.162837,116.576538,22.91156,11.938341,67.897919,43.092377,3.385046,94.545166,68.876038,4.593678,110.559082,87.500748,4.464479,122.516205,102.565796,4.270405,48.549072,57.35965,3.975768,71.187225,90.338242,5.295644,85.183014,113.245346,6.308322,95.662598,130.163895,6.87077,27.93222,65.37793,5.430863,41.621826,97.106781,7.38735,50.751984,118.674652,9.606246,58.431885,133.932632,11.061074,7.12619,67.605225,7.374803,12.271637,93.166779,9.958365,16.575287,110.138474,12.107927,21.888824,124.611862,13.267294,?
23,'2024/04/25 14:55:29:815',1,513.982483,338.490082,-0.001079,34.019226,9.708832,9.185996,64.999146,3.899689,13.889944,90.794556,21.023041,18.57243,113.184631,33.694916,23.678894,66.045502,45.364624,8.33648,91.171692,71.489716,12.1916,107.147369,91.300598,14.365882,119.604858,107.644211,16.152981,45.835663,56.923615,8.952117,65.996216,90.314301,13.528507,79.694244,113.326324,17.536951,90.602539,130.094482,20.551086,24.614868,62.456299,10.984421,35.239777,93.615128,16.399555,43.913147,112.984467,22.492706,51.627075,125.967514,26.982052,3.299225,62.874054,13.857392,6.293182,86.834961,19.513298,10.689606,101.100784,24.557064,16.371399,112.281891,28.28503,?
24,'2024/04/25 14:55:29:817',1,515.089417,337.319305,-0.001224,35.824768,8.282745,8.923133,67.924469,5.652954,12.043174,94.552551,25.607086,15.148826,116.637085,39.503937,18.513519,66.831818,44.587616,1.33102,88.858185,69.902985,4.089988,102.460785,90.072311,7.818908,113.235321,107.261459,11.253174,47.927124,56.024445,1.867756,65.653168,89.573669,5.621434,77.830627,112.047852,12.491657,86.123444,126.563324,18.788246,27.277985,61.045959,4.245514,36.806274,89.067856,11.252342,37.556458,89.745651,21.142138,36.839844,85.365372,28.425001,5.000854,62.033112,7.359583,10.322144,84.022247,14.098444,12.336945,86.89032,21.504223,13.420807,84.613525,28.051197,?
